Student ID,School,Gender,Class level,Parental educational level,Week1_attendance,Week2_attendance,Week3_attendance,Week4_attendance,Week5_attendance,Week6_attendance,Week7_attendance,Week8_attendance,Week9_attendance,Week10_attendance,Week11_attendance,Week12_attendance,Week13_attendance,Week14_attendance,Semester 1 average,Semester 2 average,Semester difference,Household income level,Family dropout history,Child labor involvement,Travel time to school,Mode of transport,Teacher relationship quality,Peer relationship quality,Extra-curricular activities,Section,Household income level (standardized),Travel time to school (minutes),grade_number,stream_letter,subgroup,level_prefix,long_commute_flag,long_walk_flag,attendance_rate,low_attendance_weeks,academic_domain,attendance_domain,income_score,family_dropout_penalty,child_labor_penalty,socioeconomic_domain,teacher_rel_score,peer_rel_score,has_extracurricular,engagement_domain,accessibility_domain,cluster,dropout_risk
1,Shining Star Preparatory,Female,4A,SHS,1.0,1.0,0.4,1.0,1.0,1.0,0.2,0.8,1.0,1.0,1.0,1.0,1.0,0.75,55.85,93.0,37.15,3,No,No,21 minutes,Walking,Poor,Good,Sports,Kofi Annan,High,21,4,A,,,0,0,0.8678571428571429,2,66.97,86.78571428571429,100,0.0,0.0,100.0,0,100,100,60.0,93.0,2,Low
2,Shining Star Preparatory,Male,4B,SHS,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.48,72.95,21.47000000000001,3,No,Yes,2 Minutes,Walking,Good,Average,Arts & Performance,Kofi Annan,High,2,4,B,,,0,0,0.9464285714285714,1,54.06600000000001,94.64285714285714,100,0.0,-30.0,70.0,100,50,100,80.0,99.33333333333333,2,Low
3,Shining Star Preparatory,Male,7B3,Tertiary,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.75,0.25,1.0,52.78,70.55,17.77,2,No,No,4 minutes,Walking,Good,Good,Passive screen time,K.A. Busia,Average,4,7,B,3.0,,0,0,0.8178571428571428,2,52.886,81.78571428571428,50,0.0,0.0,50.0,100,100,100,100.0,98.66666666666667,2,Low
4,Weweso MA,Male,5,JHS,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.4,1.0,0.8,1.0,1.0,48.68,5.45,-43.23,3,No,No,30 minutes,Public transport,Average,Good,Arts & Performance,,High,30,5,,,,0,0,0.8785714285714287,1,21.652,87.85714285714286,100,0.0,0.0,100.0,50,100,100,80.0,90.0,0,Medium
5,Weweso MA,Male,6B,Tertiary,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,52.38,82.81,30.43,2,Yes,No,3 minutes,Public transport,Good,Good,Arts & Performance,,Average,3,6,B,,,0,0,0.9285714285714286,1,60.162000000000006,92.85714285714286,50,-30.0,0.0,20.0,100,100,100,100.0,99.0,2,Low
6,Shining Star Preparatory,Female,5A,JHS,0.0,0.2,0.4,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,60.1,71.26189366217507,11.16189366217507,3,No,Sometimes,5min,Walking,Good,Good,Academic/Clubs,Kofi Annan,High,5,5,A,,,0,0,0.8107142857142857,3,54.77713619730505,81.07142857142857,100,0.0,,44.26929392446634,100,100,100,100.0,98.33333333333333,2,Low
7,Shining Star Preparatory,Female,6B,SHS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.4,1.0,63.36,93.0,29.64,3,Yes,No,15 minutes,Walking,Good,Good,Academic/Clubs,Kofi Annan,High,15,6,B,,,0,0,0.8571428571428571,2,68.47200000000001,85.71428571428571,100,-30.0,0.0,70.0,100,100,100,100.0,95.0,2,Low
8,Shining Star Preparatory,Male,6B,SHS,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,85.25,-14.75,2,No,Sometimes,30 minutes,Public transport,Good,Good,,Kofi Annan,Average,30,6,B,,,0,0,0.9857142857142858,0,74.1,98.57142857142858,50,0.0,,44.26929392446634,100,100,0,80.0,90.0,2,Low
9,Weweso MA,Female,5B,Tertiary,1.0,1.0,0.2,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,53.81,4.68,-49.13,3,No,Sometimes,9min,Public transport,Poor,Good,Arts & Performance,,High,9,5,B,,,0,0,0.8857142857142858,1,23.396,88.57142857142858,100,0.0,,44.26929392446634,0,100,100,60.0,97.0,0,Medium
10,Shining Star Preparatory,Male,5B2,Tertiary,0.2,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.8,1.0,0.0,1.0,65.81,0.0,-65.81,3,Yes,No,1 hour,Walking,Good,Good,Sports,Kofi Annan,High,60,5,B,2.0,,0,0,0.8142857142857144,3,26.324,81.42857142857144,100,-30.0,0.0,70.0,100,100,100,100.0,80.0,0,Medium
